city,state,name,longitude,latitude,url,description,length
Key West,Florida,Fort Zachary Taylor Historic State Park,-81.805299,24.551215,http://www.tripleblaze.com/trail.php?c=3&i=3822,"There are two short trails in the park; the Sand Hog Trail, located near the beach, loops through an area of native trees and vegetation typically found along the coast in the Florida Keys. Several interpretive plaques identify various plants and provide interesting information that you may not know. The other trail, Fort View Trail, takes you through a small section of tropical hammock that overlooks the fort and moat. The native trees provide essential food and habitat needed for many of the migratory bird species that frequent this area. Fort Taylor is the last stop for many of these species that get the rest and re-nourishment needed before continuing their migratory journey. Birds that have never before been seen in the United States, have been spotted at Fort Taylor and usually along the Fort View Trail.",0.00
Honaunau,Hawaii,Pu'uhonua o Honaunau National Historical Park,-155.911323,19.41806,http://www.tripleblaze.com/trail.php?c=3&i=2938,"Connect with the Hawaii of days past and enjoy the peace and serenity as you stroll along on the self-guided tour through the Royal Grounds and the Pu'uhonua.For those wanting to explore further, the backcountry trail offers a 2 mile round trip hike along the 1871 trail through the agricultural areas that surround the park.This ancient trail existed long before Europeans arrived in Hawaii and originally connected coastal villages along the South Kona Coast. In the 1800's the trail was expanded to accommodate those traveling in horse-drawn carriages.&lt;br /&gt;<br />Source: National Park Service",0.00
Hawaii National Park,Hawaii,Hawai'i Volcanoes,-155.253434,19.428265,http://www.tripleblaze.com/trail.php?c=3&i=2936,"The true character of the park is best discovered on foot. With over 150 miles of trails in the park, exploration by walking and hiking can be a fascinating and enjoyable experience.&lt;br /&gt;<br />Source: National Park Service",0.00
Kailua-Kona,Hawaii,Kaloko-Honokohau National Historical Park,-156.021873,19.678691,http://www.tripleblaze.com/trail.php?c=3&i=2937,"Walk along the footpaths used by Hawaiian people years ago.  Take the Mamalahoa Trail and imagine what it would be like to lead your donkeys laden with produce on your way to the market.  Take a portion of the Ala Kahakai National Historic Trail past heiau and house platforms that remain from long ago. The more recent Ala Hele Ike Trail will lead you from the visitor center to Honokohau Beach, passing native plants and stone walls and a corral that remains from the ranching days of the past as you hike along the trail.&lt;br /&gt;<br />Source: National Park Service",0.00
Kailua,Hawaii,Kekaha Kai (Kona Coast) State Park,-156.015159,19.779876,http://www.tripleblaze.com/trail.php?c=3&i=3964,"Kekaha Kai (Kona Coast) State Park is a diverse area with a sandy beach in one location and the 342-foot high Pu'u Ku'ili  cinder cone in another. Swimming, sunbathing and other beach related activities are common here. Amenities include restrooms, picnic tables and trash cans.<br /><br />The park's 4.5-mile hike offers beautiful views of the coastline, Kua Bay, the summit of  Pu'u Ku'ili and various streams and flora.",5.00
Honomu,Hawaii,'Akaka Falls State Park,-155.151712,19.852781,http://www.tripleblaze.com/trail.php?c=3&i=3961,"The famous 65-acre 'Akaka Falls State Park is home to the  'Akaka Falls which plunge 442 feet into a beautiful gorge. The park's self-guided walk, the 'Akaka Falls Loop Trail will take you by the scenic vista points that overlook the cascading Kahuna Falls and the 'Akaka Falls. The walk may take up to 30 minutes. The level of difficulty is easy.",1.00
Kawaihae,Hawaii,Hapuna Beach State Recreation Area,-155.822613,19.991268,http://www.tripleblaze.com/trail.php?c=3&i=3962,"The Hapuna Beach State Recreation Area is a 61.8-acre beach area. It is a popular location for swimming, bodysurfing, sunbathing, expert surfing or picnicking. Dangerous rip tides and waves may occur so keep watch on children and inexperienced swimmers. Hikers are also welcome and common here. The park amenities include lifeguard services, restrooms, picnic areas, trash cans and drinking water.<br /><br />The hiking trail on the property is the Ala Kahakai Trail (Kawaihae-Anaehoomalu). It is a moderately graded difficulty with a 30 foot elevation gain. This is a beautiful coastal hike with scenic views of ancient fishermen's trails, pristine shorelines, anachialine ponds and sea cliffs.",15.00
Kawaihae,Hawaii,Pu'ukohola Heiau National Historic Site,-155.819894,20.026596,http://www.tripleblaze.com/trail.php?c=3&i=2939,"In addition to the Park's loop trail (1/2 mile), many visitors enjoy hiking south from the Park along the Ala Kahakai National Historic Trail. A nice section is from the Park to Mau'umae Beach (about 3/4 mile). For more the adventurous, you can walk further to Hapuna Beach (about 3 miles).&lt;br /&gt;<br />Source: National Park Service",0.00
Honoka&amp;#699;a,Hawaii,Kalopa State Recreation Area,-155.439148,20.042118,http://www.tripleblaze.com/trail.php?c=3&i=3963,"At 2,000 feet elevation, Kalopa State Recreation Area is a 100 acre site that is a great place for camping, picnicking and an easy family hike. The park features a native 'ohi'a forest. The park includes a 2 mile horse loop and the Kalopa Nature Trail. The nature trail is a 0.7 mile loop of easy difficulty. The trail winds through the native 'ohi'a rainforest. 25 different species of trees, shrubs and vines can be seen along the trail.  Restrooms, picnic tables, camping sites, trash cans and drinking water are located on the property.",1.00
Maui,Hawaii,Polipoli Spring State Recreation Area,-156.327657,20.675444,http://www.tripleblaze.com/trail.php?c=3&i=3959,"Polipoli Spring State Recreation Area is located at about a 6,200 ft elevation. The views of Central and West Maui, Kaho'olawe, Moloka'i and Lana'i are arguably unmatched when the the air is clear, but the park is in the fog belt of the Kula Forest Reserve. The fog is a minor set back though because the various hiking trails and the forest landscapes are incredible. Park managers advise that the visitor wear brightly colored clothing during pig and fowl hunting seasons. The park's amenities include restrooms, lodging and trash cans.<br /><br />Four hiking trails run through the park: The Haleakala Ridge Trail, The Plum Trail, The Polipoli Trail and the Redwood Trail which when combined make up a 3.5 mile loop.",4.00
Makawao,Hawaii,Haleakala National Park,-156.249809,20.714606,http://www.tripleblaze.com/trail.php?c=3&i=2935,"The summit area of Haleakala National Park has over 30 miles (48 km) of hiking trails. Trails range from just 10 minutes to long overnight trips. You might hike in the native shrubland, looking for native forest birds and endemic plants, or in the aeolian cinder desert, exploring the geologic history of the summit.&lt;br /&gt;<br />Source: National Park Service",0.00
Hana,Hawaii,Wai'anapanapa State Park,-155.998611,20.783611,http://www.tripleblaze.com/trail.php?c=3&i=3960,"The remote Wai'anapanapa State Park is located along the low-cliffed volcanic coastline. Seabird watching is common as are other activities such as picnicking, camping, shore fishing and hiking. The park has several beautiful natural features including the native hala forest, a cave, an ancient religious temple, sea stacks and a small black sand beach. The park amenities include restrooms, camping, outdoor showers, trash cans and drinking water.<br /><br />The hiking trail on the property is the Ke Ala Loa O Maui/Piilani Trail. The level of difficulty is moderate and the elevation gain is 200 feet. The rugged coastal trails takes you through views of the Hana Coast and Slopes of Haleakala.",3.00
Waikiki,Hawaii,Diamond Head State Monument,-157.811709,21.259843,http://www.tripleblaze.com/trail.php?c=3&i=3955,"Diamond Head State Monument is home to Diamond Head, the name of a 760-foot extinct volcanic peak, also known as a volcanic tuff cone. This is Hawaii's most recognized landmark and one of the United States' common landmarks. The park offers a hiking trail and beautiful coastal views. Restrooms, vending machines, trashcans, lookouts, interpretive signs, drinking water and picnic areas are all offered for the visitors convenience.<br /><br />The popular hiking trail on the property is the Diamond Head Summit Trail. It is only 1.6 miles, but the hike takes about 2 hours depending on level of experience. You will gain 560 feet. The trail is marked as moderate difficulty.",2.00
Honolulu,Hawaii,Wa'ahila Ridge State Recreation Area,-157.797822,21.306125,http://www.tripleblaze.com/trail.php?c=3&i=3958,"Wa'ahila Ridge State Recreation Area is located on a Norfolk Island pine forested ridge. There are beautiful views of the Manoa and Palolo valleys. Picnicking is a popular activity here, as well as family hiking. The park amenities include restrooms, picnic tables, a hiking trail, trash cans and drinking water.<br /><br />The Wa'ahila Ridge Trail is located at the park and is a beautiful 2.4 mile trek of a moderate to difficult level of experience. The hike offers great views of the native forest and wildlife. The hiker will gain 500 feet of elevation.",3.00
Honolulu,Hawaii,Ka Iwi State Scenic Shoreline,-157.65058,21.308539,http://www.tripleblaze.com/trail.php?c=3&i=3956,Ka Iwi State Scenic Shoreline has a 1 mile hike that leads the visitor to the historic Makapuu lighthouse. During the hike you will see beautiful panoramic views of the southeastern O'ahu coastline. Whale sightings are common. The state shoreline offers no amenities so be sure to pack supplies.,2.00
Waikiki,Hawaii,Keaiwa Heiau State Recreation Area,-157.895971,21.398614,http://www.tripleblaze.com/trail.php?c=3&i=3957,"Keaiwa Heiau State Recreation Area is a 384-acre park with beautiful Norfolk pine groves and eucalyptus trees. Camping is a very popular activity in the forested setting. Like most parks in this area, the views are nothing short of spectacular. There are a few moderate level hikes offered at the park with a variety of views from streams to B-24 bomber remnants. The 'Aiea Loop Trail is a 4.8 mile trail that will take 2.5 to 3 hours to complete.",5.00
Pearl City,Hawaii,Manana Trail,-157.93865,21.43004,http://www.tripleblaze.com/trail.php?c=3&i=7855,"Manana Trail is a 5 mile hiking trail in Pearl City, Hawaii.",5.00
O&amp;#699;ahu,Hawaii,Ahupua'a O Kahana State Park,-157.872687,21.550513,http://www.tripleblaze.com/trail.php?c=3&i=3954,"Kahana is an unbelievably unspoiled valley of ancient Hawaii. The nearly 5,300-acre park has views from the sea to the mountains. Since the valley is so well-preserved, there are extensive remnants of ancient Hawaiian culture including temples, shrines, homesites. stone walls and irrigation channels. There are a few hiking trails on the property that are fairly easy, but they can be muddy due to the common rain of the valley. Camping is also permitted. The two hiking trails at the park offers stunning views of Kahana Bay, koa trees, tropical rain forest and Kahana Stream.",6.00
Waialua,Hawaii,Kaena Point,-158.23732,21.57895,http://www.tripleblaze.com/trail.php?c=3&i=1113,"Kaena Point features 8 miles of hiking trails near Waialua, HI.",8.00
"Haleiwa, Oahu",Hawaii,Peacock Flats,-158.16259,21.57996,http://www.tripleblaze.com/trail.php?c=3&i=1420,"Peacock Flats features 10 miles of hiking trails near Haleiwa, Oahu, HI.",10.00
